code,name,description,notes,carbohydrate,fat,protein,sugar
ROMAINE-LETTUCE,"Romaine Lettuce","Crisp romaine leaves","Classic salad base",2,0,1,1
FRESH-SPINACH,"Fresh Spinach","Baby spinach leaves","Nutrient powerhouse",2,0,1,1
CURLY-KALE,"Curly Kale","Fresh kale leaves","Superfood green",2,0,1,1
FRESH-ARUGULA,"Fresh Arugula","Peppery arugula","Bold flavor profile",2,0,1,1
MIXED-SPRING-GRE,"Mixed Spring Greens","Baby green blend","Tender mixed greens",2,0,1,1
ICEBERG-LETTUCE,"Iceberg Lettuce","Crisp iceberg","Refreshing crunch",2,0,1,1
BUTTER-LETTUCE,"Butter Lettuce","Soft butter lettuce","Delicate leaves",2,0,1,1
CHERRY-TOMATOES,"Cherry Tomatoes","Sweet cherry tomatoes","Bursting with flavor",5,0,1,3
GRAPE-TOMATOES,"Grape Tomatoes","Tiny grape tomatoes","Pop of sweetness",5,0,1,3
ROMA-TOMATOES,"Roma Tomatoes","Diced roma tomatoes","Meaty texture",5,0,1,3
ENGLISH-CUCUMBER,"English Cucumber","Sliced cucumber","Cool and crisp",5,0,1,3
PERSIAN-CUCUMBER,"Persian Cucumber","Mini cucumbers","Seedless variety",5,0,1,3
SHREDDED-CARROTS,"Shredded Carrots","Fresh carrot shreds","Natural sweetness",10,0,1,5
CARROT-COINS,"Carrot Coins","Sliced carrots","Colorful rounds",10,0,1,5
BELL-PEPPER-MIX,"Bell Pepper Mix","Tri-color peppers","Red yellow green",5,0,1,3
RED-BELL-PEPPER,"Red Bell Pepper","Sweet red peppers","Roasted option",5,0,1,3
YELLOW-BELL-PEPP,"Yellow Bell Pepper","Mild yellow peppers","Bright and sweet",5,0,1,3
RED-ONION,"Red Onion","Sliced red onion","Sharp and tangy",9,0,1,4
WHITE-ONION,"White Onion","Diced white onion","Pungent flavor",9,0,1,4
GREEN-ONION,"Green Onion","Sliced scallions","Mild onion flavor",9,0,1,4
BROCCOLI-FLORETS,"Broccoli Florets","Fresh broccoli","Nutrient dense",5,0,2,2
CAULIFLOWER-RICE,"Cauliflower Rice","Riced cauliflower","Low-carb option",5,0,2,2
SHAVED-BRUSSELS,"Shaved Brussels","Thinly sliced sprouts","Crunchy texture",5,0,2,2
RADISH-SLICES,"Radish Slices","Fresh radish rounds","Peppery crunch",10,0,1,5
BEETS,"Beets","Roasted beet cubes","Earthy sweetness",10,0,1,5
SWEET-POTATO,"Sweet Potato","Roasted sweet potato","Caramelized cubes",10,0,1,5
CORN-KERNELS,"Corn Kernels","Fresh corn kernels","Sweet and crunchy",5,0,1,3
EDAMAME,"Edamame","Shelled edamame","Protein boost",5,0,1,3
SUGAR-SNAP-PEAS,"Sugar Snap Peas","Crisp snap peas","Fresh and sweet",5,0,1,3
BABY-CORN,"Baby Corn","Pickled baby corn","Unique texture",5,0,1,3
