code,name,description,notes,cup,quarter,tablespoon,teaspoon,gram
DRIED-CRANBERRIE,"Dried Cranberries","Sweet dried cranberries","Tart and chewy",40,10,20,7,40
GOLDEN-RAISINS,"Golden Raisins","Sweet golden raisins","Natural sweetness",40,10,20,7,40
DARK-RAISINS,"Dark Raisins","Traditional dark raisins","Classic dried fruit",40,10,20,7,40
DRIED-APRICOTS,"Dried Apricots","Tangy dried apricots","Bright orange color",40,10,20,7,40
MEDJOOL-DATES,"Medjool Dates","Large medjool dates","Caramel-like flavor",40,10,20,7,40
CHOPPED-DATES,"Chopped Dates","Diced dates","Easy to sprinkle",40,10,20,7,40
DRIED-FIGS,"Dried Figs","Sweet dried figs","Honey-like taste",40,10,20,7,40
DRIED-CHERRIES,"Dried Cherries","Tart dried cherries","Deep red color",40,10,20,7,40
DRIED-BLUEBERRIE,"Dried Blueberries","Sweet blueberries","Antioxidant rich",40,10,20,7,40
DRIED-MANGO,"Dried Mango","Chewy mango strips","Tropical sweetness",40,10,20,7,40
DRIED-PINEAPPLE,"Dried Pineapple","Sweet pineapple chunks","Island flavor",40,10,20,7,40
GOJI-BERRIES,"Goji Berries","Superfood goji berries","Nutrient dense",40,10,20,7,40
BANANA-CHIPS,"Banana Chips","Crispy banana slices","Sweet and crunchy",40,10,20,7,40
APPLE-CHIPS,"Apple Chips","Crunchy apple slices","Naturally sweet",40,10,20,7,40
