name,category,subcategory,description,notes,foundation,mixable
Feta Cheese,Cheese,Soft,Crumbled feta,Tangy and salty,true,false
Goat Cheese,Cheese,Soft,Creamy goat cheese,Mild tang,false,false
Blue Cheese,Cheese,Soft,Crumbled blue cheese,Bold and pungent,false,false
Gorgonzola,Cheese,Soft,Italian blue cheese,Creamy and sharp,false,false
Fresh Mozzarella,Cheese,Soft,Pearl mozzarella,Mild and milky,true,false
Burrata,Cheese,Soft,Creamy burrata,Luxurious center,false,false
Ricotta Salata,Cheese,Firm,Crumbled ricotta salata,Salty and firm,false,false
Parmesan,Cheese,Hard,Shaved parmesan,Nutty and sharp,true,false
Aged Parmesan,Cheese,Hard,Aged parmigiano,Crystalline texture,false,false
Pecorino Romano,Cheese,Hard,Shaved pecorino,Sharp sheep milk,false,false
Asiago,Cheese,Hard,Shaved asiago,Nutty flavor,false,false
Cheddar,Cheese,Hard,Shredded cheddar,Sharp aged cheddar,true,false
White Cheddar,Cheese,Hard,White cheddar shreds,Creamy sharp,false,false
Gruyere,Cheese,Semi-Hard,Shredded gruyere,Nutty and sweet,false,false
Swiss Cheese,Cheese,Semi-Hard,Cubed swiss,Mild and nutty,false,false
Monterey Jack,Cheese,Semi-Soft,Shredded jack,Mild and creamy,false,false
Pepper Jack,Cheese,Semi-Soft,Spicy jack cheese,Jalapeño kick,false,false
Havarti,Cheese,Semi-Soft,Sliced havarti,Buttery smooth,false,false
Brie,Cheese,Soft,Cubed brie,Creamy rind,false,false
Manchego,Cheese,Hard,Cubed manchego,Spanish sheep milk,false,false
