code,name,description,notes,howtouse,crunch,punch,sweet,savory
DRIED-CRANBERRIE,"Dried Cranberries","Sweet dried cranberries","Tart and chewy",fresh,2,4,5,1
GOLDEN-RAISINS,"Golden Raisins","Sweet golden raisins","Natural sweetness",fresh,2,3,5,1
DARK-RAISINS,"Dark Raisins","Traditional dark raisins","Classic dried fruit",fresh,2,3,5,1
DRIED-APRICOTS,"Dried Apricots","Tangy dried apricots","Bright orange color",fresh,2,3,5,1
MEDJOOL-DATES,"Medjool Dates","Large medjool dates","Caramel-like flavor",snack,3,3,5,1
CHOPPED-DATES,"Chopped Dates","Diced dates","Easy to sprinkle",snack,3,3,5,1
DRIED-FIGS,"Dried Figs","Sweet dried figs","Honey-like taste",snack,3,3,5,1
DRIED-CHERRIES,"Dried Cherries","Tart dried cherries","Deep red color",fresh,2,3,5,1
DRIED-BLUEBERRIE,"Dried Blueberries","Sweet blueberries","Antioxidant rich",fresh,2,4,5,1
DRIED-MANGO,"Dried Mango","Chewy mango strips","Tropical sweetness",fresh,2,4,5,1
DRIED-PINEAPPLE,"Dried Pineapple","Sweet pineapple chunks","Island flavor",fresh,2,4,5,1
GOJI-BERRIES,"Goji Berries","Superfood goji berries","Nutrient dense",fresh,2,4,5,1
BANANA-CHIPS,"Banana Chips","Crispy banana slices","Sweet and crunchy",fresh,2,4,5,1
APPLE-CHIPS,"Apple Chips","Crunchy apple slices","Naturally sweet",fresh,3,2,4,1
