code,name,description,notes,cup,quarter,tablespoon,teaspoon,gram
SUNFLOWER-SEEDS,"Sunflower Seeds","Roasted sunflower seeds","Nutty crunch",30,8,15,5,30
PUMPKIN-SEEDS,"Pumpkin Seeds","Roasted pepitas","Green and crunchy",30,8,15,5,30
CHIA-SEEDS,"Chia Seeds","Whole chia seeds","Omega-3 boost",30,8,15,5,30
HEMP-HEARTS,"Hemp Hearts","Hulled hemp seeds","Complete protein",30,8,15,5,30
FLAX-SEEDS,"Flax Seeds","Ground flaxseed","Fiber rich",30,8,15,5,30
SESAME-SEEDS,"Sesame Seeds","Toasted sesame","Asian flair",30,8,15,5,30
CROUTONS,"Croutons","Garlic herb croutons","Classic topper",30,8,15,5,30
SEASONED-CROUTON,"Seasoned Croutons","Italian croutons","Herbed and crispy",30,8,15,5,30
GARLIC-CRISPS,"Garlic Crisps","Thin garlic chips","Aromatic crunch",30,8,15,5,30
WONTON-STRIPS,"Wonton Strips","Crispy wonton strips","Asian-style crunch",30,8,15,5,30
TORTILLA-STRIPS,"Tortilla Strips","Crispy tortilla strips","Tex-Mex crunch",30,8,15,5,30
BACON-BITS,"Bacon Bits","Real bacon pieces","Smoky crunch",30,8,15,5,30
FRIED-ONIONS,"Fried Onions","Crispy fried onions","French onion style",30,8,15,5,30
CHICKPEA-CRUNCH,"Chickpea Crunch","Roasted chickpeas","Protein crunch",30,8,15,5,30
QUINOA-PUFFS,"Quinoa Puffs","Puffed quinoa","Light and airy",30,8,15,5,30
GRANOLA-CLUSTERS,"Granola Clusters","Honey granola","Sweet clusters",30,8,15,5,30
COCONUT-FLAKES,"Coconut Flakes","Toasted coconut","Sweet and crispy",30,8,15,5,30
PITA-CHIPS,"Pita Chips","Seasoned pita chips","Mediterranean crunch",30,8,15,5,30
