code,name,description,notes,carbohydrate,fat,protein,sugar
SLICED-ALMONDS,"Sliced Almonds","Thin sliced almonds","Perfect for adding crunch",6,14,6,1
WHOLE-ALMONDS,"Whole Almonds","Whole roasted almonds","Heart-healthy option",6,14,6,1
CHOPPED-WALNUTS,"Chopped Walnuts","Chopped walnuts","Rich omega-3 source",6,14,6,1
WALNUT-HALVES,"Walnut Halves","Premium walnut halves","Beautiful presentation",6,14,6,1
PECAN-HALVES,"Pecan Halves","Fresh pecan halves","Sweet and buttery",6,14,6,1
CHOPPED-PECANS,"Chopped Pecans","Chopped pecans","Great for texture",6,14,6,1
CASHEWS,"Cashews","Roasted cashews","Creamy and mild",6,14,6,1
PISTACHIOS,"Pistachios","Shelled pistachios","Vibrant green color",6,14,6,1
HONEY-ROASTED-PE,"Honey Roasted Peanuts","Sweet honey peanuts","Candied crunch",6,14,6,1
DRY-ROASTED-PEAN,"Dry Roasted Peanuts","Unsalted peanuts","Classic protein",6,14,6,1
MACADAMIA-NUTS,"Macadamia Nuts","Buttery macadamias","Luxury nut option",6,14,6,1
HAZELNUTS,"Hazelnuts","Roasted hazelnuts","Rich and earthy",6,14,6,1
MIXED-NUTS,"Mixed Nuts","Variety nut blend","Assorted favorites",6,14,6,1
CANDIED-PECANS,"Candied Pecans","Sweet glazed pecans","Caramelized coating",6,14,6,1
PINE-NUTS,"Pine Nuts","Mediterranean pine nuts","Delicate and buttery",6,14,6,1
