code,name,description,notes,cup,quarter,tablespoon,teaspoon,gram
SLICED-ALMONDS,"Sliced Almonds","Thin sliced almonds","Perfect for adding crunch",30,8,15,5,30
WHOLE-ALMONDS,"Whole Almonds","Whole roasted almonds","Heart-healthy option",30,8,15,5,30
CHOPPED-WALNUTS,"Chopped Walnuts","Chopped walnuts","Rich omega-3 source",30,8,15,5,30
WALNUT-HALVES,"Walnut Halves","Premium walnut halves","Beautiful presentation",30,8,15,5,30
PECAN-HALVES,"Pecan Halves","Fresh pecan halves","Sweet and buttery",30,8,15,5,30
CHOPPED-PECANS,"Chopped Pecans","Chopped pecans","Great for texture",30,8,15,5,30
CASHEWS,"Cashews","Roasted cashews","Creamy and mild",30,8,15,5,30
PISTACHIOS,"Pistachios","Shelled pistachios","Vibrant green color",30,8,15,5,30
HONEY-ROASTED-PE,"Honey Roasted Peanuts","Sweet honey peanuts","Candied crunch",30,8,15,5,30
DRY-ROASTED-PEAN,"Dry Roasted Peanuts","Unsalted peanuts","Classic protein",30,8,15,5,30
MACADAMIA-NUTS,"Macadamia Nuts","Buttery macadamias","Luxury nut option",30,8,15,5,30
HAZELNUTS,"Hazelnuts","Roasted hazelnuts","Rich and earthy",30,8,15,5,30
MIXED-NUTS,"Mixed Nuts","Variety nut blend","Assorted favorites",30,8,15,5,30
CANDIED-PECANS,"Candied Pecans","Sweet glazed pecans","Caramelized coating",30,8,15,5,30
PINE-NUTS,"Pine Nuts","Mediterranean pine nuts","Delicate and buttery",30,8,15,5,30
