code,name,category,subcategory,description,notes,howtouse,crunch,punch,sweet,savory
FLVROM,Romaine Lettuce Flavor,Vegetable,Leafy Green,Flavor profile for romaine lettuce,Crisp and mild,Base,4,1,1,1
FLVSPI,Spinach Flavor,Vegetable,Leafy Green,Flavor profile for fresh spinach,Tender with slight earthiness,Base,2,1,1,2
FLVKALE,Kale Flavor,Vegetable,Leafy Green,Flavor profile for kale,Sturdy and slightly bitter,Base,3,2,1,2
FLVARG,Arugula Flavor,Vegetable,Leafy Green,Flavor profile for arugula,Peppery and bold,Base,2,4,1,2
FLVTOM,Tomato Flavor,Vegetable,Fruit Vegetable,Flavor profile for tomatoes,Sweet and acidic,Topping,2,2,4,3
FLVCUC,Cucumber Flavor,Vegetable,Fruit Vegetable,Flavor profile for cucumber,Cool and refreshing,Topping,4,1,2,1
FLVCAR,Carrot Flavor,Vegetable,Root Vegetable,Flavor profile for carrots,Sweet and earthy,Topping,5,1,4,2
FLVBEL,Bell Pepper Flavor,Vegetable,Fruit Vegetable,Flavor profile for bell peppers,Sweet and slightly tangy,Topping,4,2,3,2
FLVRON,Red Onion Flavor,Vegetable,Bulb Vegetable,Flavor profile for red onions,Sharp and pungent,Topping,3,5,2,4
FLVCHI,Grilled Chicken Flavor,Protein,Poultry,Flavor profile for grilled chicken breast,Mild and savory,Protein,2,2,1,5
FLVEGG,Hard Boiled Egg Flavor,Protein,Egg,Flavor profile for hard boiled eggs,Rich and mild,Protein,1,1,1,4
FLVCHP,Chickpea Flavor,Protein,Legume,Flavor profile for cooked chickpeas,Nutty and earthy,Protein,2,1,2,3
FLVFET,Feta Cheese Flavor,Protein,Dairy,Flavor profile for feta cheese,Tangy and salty,Protein,1,4,1,5
FLVALM,Almond Flavor,Nuts,Tree Nut,Flavor profile for almonds,Nutty with mild sweetness,Topping,5,1,2,3
FLVWAL,Walnut Flavor,Nuts,Tree Nut,Flavor profile for walnuts,Earthy and slightly bitter,Topping,4,2,1,3
FLVSUN,Sunflower Seeds Flavor,Seeds,Seed,Flavor profile for sunflower seeds,Nutty and toasty,Topping,5,1,1,3
FLVBAL,Balsamic Vinaigrette Flavor,Dressing,Vinaigrette,Flavor profile for balsamic vinaigrette,Tangy with sweet notes,Dressing,1,3,4,3
FLVRAN,Ranch Dressing Flavor,Dressing,Creamy,Flavor profile for ranch dressing,Creamy and herby,Dressing,1,2,2,5
FLVCAE,Caesar Dressing Flavor,Dressing,Creamy,Flavor profile for caesar dressing,Garlicky and savory,Dressing,1,3,1,5
FLVOLI,Olive Oil Flavor,Dressing,Oil,Flavor profile for olive oil,Fruity and peppery,Dressing,1,2,1,4
