code,name,description,notes,cup,quarter,tablespoon,teaspoon,gram
STRAWBERRIES,"Strawberries","Fresh sliced strawberries","Sweet and juicy",150,40,75,25,150
BLUEBERRIES,"Blueberries","Fresh blueberries","Antioxidant powerhouse",150,40,75,25,150
RASPBERRIES,"Raspberries","Fresh raspberries","Delicate and tart",150,40,75,25,150
BLACKBERRIES,"Blackberries","Fresh blackberries","Bold berry flavor",150,40,75,25,150
APPLE-SLICES,"Apple Slices","Crisp apple slices","Classic fruit choice",150,40,75,25,150
PEAR-SLICES,"Pear Slices","Juicy pear slices","Subtly sweet",150,40,75,25,150
ORANGE-SEGMENTS,"Orange Segments","Fresh orange segments","Bright citrus burst",150,40,75,25,150
GRAPEFRUIT-SEGME,"Grapefruit Segments","Ruby red grapefruit","Tangy and refreshing",150,40,75,25,150
MANDARIN-ORANGES,"Mandarin Oranges","Sweet mandarin segments","Easy to eat",150,40,75,25,150
PINEAPPLE-CHUNKS,"Pineapple Chunks","Fresh pineapple pieces","Tropical sweetness",150,40,75,25,150
MANGO-CHUNKS,"Mango Chunks","Fresh mango cubes","Smooth and sweet",150,40,75,25,150
WATERMELON-CUBES,"Watermelon Cubes","Juicy watermelon","Refreshing hydration",150,40,75,25,150
CANTALOUPE-CUBES,"Cantaloupe Cubes","Sweet cantaloupe","Peachy orange flesh",150,40,75,25,150
HONEYDEW-MELON,"Honeydew Melon","Green honeydew cubes","Mild and sweet",150,40,75,25,150
GRAPES,"Grapes","Fresh grape halves","Seedless variety",150,40,75,25,150
KIWI-SLICES,"Kiwi Slices","Fresh kiwi rounds","Bright green color",150,40,75,25,150
POMEGRANATE-ARIL,"Pomegranate Arils","Ruby pomegranate seeds","Jewel-like texture",150,40,75,25,150
PEACH-SLICES,"Peach Slices","Fresh peach wedges","Summer sweetness",150,40,75,25,150
