code,name,description,notes,cup,quarter,tablespoon,teaspoon,gram
SRVROM,Romaine Lettuce Serving,Standard serving for romaine lettuce,Chopped or shredded,47,12,3,1,100
SRVSPI,Spinach Serving,Standard serving for fresh spinach,Loosely packed,30,8,2,1,100
SRVKALE,Kale Serving,Standard serving for kale,Chopped leaves,67,17,4,1,100
SRVARG,Arugula Serving,Standard serving for arugula,Loosely packed,20,5,1,0,100
SRVTOM,Tomato Serving,Standard serving for tomatoes,Diced or sliced,149,37,9,3,100
SRVCUC,Cucumber Serving,Standard serving for cucumber,Sliced with peel,104,26,7,2,100
SRVCAR,Carrot Serving,Standard serving for carrots,Shredded or julienned,110,28,7,2,100
SRVBEL,Bell Pepper Serving,Standard serving for bell peppers,Diced or sliced,92,23,6,2,100
SRVRON,Red Onion Serving,Standard serving for red onions,Sliced or diced,160,40,10,3,100
SRVCHI,Grilled Chicken Serving,Standard serving for grilled chicken breast,Sliced or diced,140,35,9,3,100
SRVEGG,Hard Boiled Egg Serving,Standard serving for hard boiled eggs,Sliced or chopped,136,34,9,3,100
SRVCHP,Chickpea Serving,Standard serving for cooked chickpeas,Whole or mashed,164,41,10,3,100
SRVFET,Feta Cheese Serving,Standard serving for feta cheese,Crumbled,150,38,9,3,100
SRVALM,Almond Serving,Standard serving for almonds,Sliced or whole,143,36,9,3,100
SRVWAL,Walnut Serving,Standard serving for walnuts,Chopped or halves,120,30,8,3,100
SRVSUN,Sunflower Seeds Serving,Standard serving for sunflower seeds,Hulled seeds,140,35,9,3,100
SRVBAL,Balsamic Vinaigrette Serving,Standard serving for balsamic vinaigrette,Typical portion,236,59,15,5,100
SRVRAN,Ranch Dressing Serving,Standard serving for ranch dressing,Typical portion,236,59,15,5,100
SRVCAE,Caesar Dressing Serving,Standard serving for caesar dressing,Typical portion,236,59,15,5,100
SRVOLI,Olive Oil Serving,Standard serving for olive oil,Pure oil,216,54,14,5,100
